Name,Description,Crop/variety,Season,length FB,Nr plants FB,Area/Location
2020-49 Swiss chard Autumn HVW04-N,Length (m): 20.5; Nr of plants: 184,Swiss chard Autumn,AUTUMN,20.5,184,HortasDoVale-West (HDVW) - bed 4 north section
2021-W04 Strawberry HVW24,Length (m): 57; Nr of plants: 426,Strawberry,WINTER,57,426,HortasDoVale-West (HDVW) - bed 24
2021-W04 Strawberry HVW25,Length (m): 57; Nr of plants: 426,Strawberry,WINTER,57,426,HortasDoVale-West (HDVW) - bed 25
2021-W10 Chives SGH3-S,Length (m): 4.45; Nr of plants: 71,Chives,WINTER,4.45,71,Summer Green House (SGH) - bed 3 south section
2021-W10 Zucchini WGH5,Length (m): 22.3; Nr of plants: 22,Zucchini,WINTER,22.3,22,Winter Green House - bed 5
2021-W13 Leek HVE23,Length (m): 55.2; Nr of plants: 1766,Leek,SPRING,55.2,1766,HortasDoVale-East (HDVE) - bed 23
2021-W13 Melon long HVE12-N,Length (m): 27.6; Nr of plants: 27,Melon long,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 12 north section
2021-W13 Tomatoes small WGH1,Length (m): 8.91; Nr of plants: 8,Tomatoes small,SPRING,8.91,8,Winter Green House - bed 1
2021-W13 Tomatoes varied WGH1,Length (m): 13.4; Nr of plants: 13,Tomatoes varied,SPRING,13.4,13,Winter Green House - bed 1
2021-W13 Watermelon HVE12-S,Length (m): 27.6; Nr of plants: 27,Watermelon,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 12 south section
2021-W14 N.Z. Spinaches WGH6,Length (m): 2.67; Nr of plants: 21,N.Z. Spinaches,SPRING,2.67,21,Winter Green House - bed 6
2021-W14 Tomato roma WGH6,Length (m): 22.3; Nr of plants: 22,Tomato roma,SPRING,22.3,22,Winter Green House - bed 6
2021-W14 Tomatoes small WGH6,Length (m): 10.7; Nr of plants: 10,Tomatoes small,SPRING,10.7,10,Winter Green House - bed 6
2021-W14 Tomatoes varied WGH6,Length (m): 11.6; Nr of plants: 11,Tomatoes varied,SPRING,11.6,11,Winter Green House - bed 6
2021-W15 Aubergine HVW14,Length (m): 57; Nr of plants: 256,Aubergine,SPRING,57,256,HortasDoVale-West (HDVW) - bed 14
2021-W15 Tomatoes small HVW03,Length (m): 21.4; Nr of plants: 20,Tomatoes small,SPRING,21.4,20,HortasDoVale-West (HDVW) - bed 3
2021-W15 Tomatoes varied HVW03,Length (m): 35.6; Nr of plants: 34,Tomatoes varied,SPRING,35.6,34,HortasDoVale-West (HDVW) - bed 3
2021-W16 Basil HVW03,Length (m): 57; Nr of plants: 256,Basil,SPRING,57,256,HortasDoVale-West (HDVW) - bed 3
2021-W16 Beetroot HVW03,Length (m): 57; Nr of plants: 398,Beetroot,SPRING,57,398,HortasDoVale-West (HDVW) - bed 3
2021-W16 Dinosaur kale SGH1-N,Length (m): 16; Nr of plants: 144,Dinosaur kale,SPRING,16,144,Summer Green House (SGH) - bed 1 north section
2021-W16 Muscade Pumpkin HVE15,Length (m): 55.2; Nr of plants: 54,Muscade Pumpkin,SPRING,55.2,54,HortasDoVale-East (HDVE) - bed 15
2021-W16 Muscade Pumpkin HVE17,Length (m): 55.2; Nr of plants: 54,Muscade Pumpkin,SPRING,55.2,54,HortasDoVale-East (HDVE) - bed 17
2021-W19 Swiss chard SGH1-S,Length (m): 10.7; Nr of plants: 96,Swiss chard,SPRING,10.7,96,Summer Green House (SGH) - bed 1 south section
2021-W19 Swiss chard SGH2-S,Length (m): 10.7; Nr of plants: 96,Swiss chard,SPRING,10.7,96,Summer Green House (SGH) - bed 2 south section
2021-W19 Turnip HVW13-S,Length (m): 18.7; Nr of plants: 2431,Turnip,SPRING,18.7,2431,HortasDoVale-West (HDVW) - bed 13 south section
2021-W20 Carrot HVE01,Length (m): 55.2; Nr of plants: 11040,Carrot,SPRING,55.2,11040,HortasDoVale-East (HDVE) - bed 1
2021-W20 Cucumber HVE06-S,Length (m): 11.6; Nr of plants: 52,Cucumber,SPRING,11.6,52,HortasDoVale-East (HDVE) - bed 6 south section
2021-W20 Zucchini HVE06-N,Length (m): 27.6; Nr of plants: 22,Zucchini,SPRING,27.6,22,HortasDoVale-East (HDVE) - bed 6 north section
2021-W20 Zucchini HVE06-S,Length (m): 16; Nr of plants: 12,Zucchini,SPRING,16,12,HortasDoVale-East (HDVE) - bed 6 south section
2021-W21 Aubergine HVW17,Length (m): 57; Nr of plants: 256,Aubergine,SPRING,57,256,HortasDoVale-West (HDVW) - bed 17
2021-W21 Basil HVW08-N,Length (m): 28.5; Nr of plants: 128,Basil,SPRING,28.5,128,HortasDoVale-West (HDVW) - bed 8 north section
2021-W21 Tomato roma HVW16-N,Length (m): 28.5; Nr of plants: 71,Tomato roma,SPRING,28.5,71,HortasDoVale-West (HDVW) - bed 16 north section
2021-W21 Tomatoes varied HVW08,Length (m): 57; Nr of plants: 56,Tomatoes varied,SPRING,57,56,HortasDoVale-West (HDVW) - bed 8
2021-W21 Turnip HVW16-S,Length (m): 28.5; Nr of plants: 3705,Turnip,SPRING,28.5,3705,HortasDoVale-West (HDVW) - bed 16 south section
2021-W22 Basil HVW08-S,Length (m): 28.5; Nr of plants: 128,Basil,SPRING,28.5,128,HortasDoVale-West (HDVW) - bed 8 south section
2021-W22 Carrot HVE02,Length (m): 55.2; Nr of plants: 11040,Carrot,SPRING,55.2,11040,HortasDoVale-East (HDVE) - bed 2
2021-W22 Celery HVW08-N,Length (m): 11.6; Nr of plants: 52,Celery,SPRING,11.6,52,HortasDoVale-West (HDVW) - bed 8 north section
2021-W22 Celery HVW08-S,Length (m): 28.5; Nr of plants: 128,Celery,SPRING,28.5,128,HortasDoVale-West (HDVW) - bed 8 south section
2021-W22 Sweet corn HVE16,Length (m): 55.2; Nr of plants: 440,Sweet corn,SPRING,55.2,440,HortasDoVale-East (HDVE) - bed 16
2021-W23 Cucumber HVW05-S,Length (m): 8.91; Nr of plants: 40,Cucumber,SPRING,8.91,40,HortasDoVale-West (HDVW) - bed 5 south section
2021-W23 Melon round HVE05-N,Length (m): 27.6; Nr of plants: 27,Melon round,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 5 north section
2021-W23 Melon round HVE07-N,Length (m): 27.6; Nr of plants: 27,Melon round,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 7 north section
2021-W23 Watermelon HVE05-S,Length (m): 27.6; Nr of plants: 27,Watermelon,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 5 south section
2021-W23 Watermelon HVE07-S,Length (m): 27.6; Nr of plants: 27,Watermelon,SPRING,27.6,27,HortasDoVale-East (HDVE) - bed 7 south section
2021-W23 Zucchini HVW05-N,Length (m): 28.5; Nr of plants: 28,Zucchini,SPRING,28.5,28,HortasDoVale-West (HDVW) - bed 5 north section
2021-W23 Zucchini HVW05-S,Length (m): 7.13; Nr of plants: 7,Zucchini,SPRING,7.13,7,HortasDoVale-West (HDVW) - bed 5 south section
2021-W24 Celery HVW05-S,Length (m): 13.4; Nr of plants: 90,Celery,SUMMER,13.4,90,HortasDoVale-West (HDVW) - bed 5 south section
2021-W24 Hot peppers HVW20-S,Length (m): 18.7; Nr of plants: 84,Hot peppers,SUMMER,18.7,84,HortasDoVale-West (HDVW) - bed 20 south section
2021-W24 Mizuna green WGH3,Length (m): 2.67; Nr of plants: 85,Mizuna green,SUMMER,2.67,85,Winter Green House - bed 3
2021-W24 Mizuna purple WGH3,Length (m): 2.67; Nr of plants: 85,Mizuna purple,SUMMER,2.67,85,Winter Green House - bed 3
2021-W24 Padron peppers HVW20-S,Length (m): 14.3; Nr of plants: 64,Padron peppers,SUMMER,14.3,64,HortasDoVale-West (HDVW) - bed 20 south section
2021-W24 Peppers HVW05-S,Length (m): 13.4; Nr of plants: 60,Peppers,SUMMER,13.4,60,HortasDoVale-West (HDVW) - bed 5 south section
2021-W24 Peppers HVW20-N,Length (m): 28.5; Nr of plants: 128,Peppers,SUMMER,28.5,128,HortasDoVale-West (HDVW) - bed 20 north section
2021-W24 Rucula WGH3,Length (m): 16; Nr of plants: 512,Rucula,SUMMER,16,512,Winter Green House - bed 3
2021-W24 Sweet potato HVE04-N,Length (m): 27.6; Nr of plants: 124,Sweet potato,SUMMER,27.6,124,HortasDoVale-East (HDVE) - bed 4 north section
2021-W25 Beetroot HVW08-N,Length (m): 16.9; Nr of plants: 118,Beetroot,SUMMER,16.9,118,HortasDoVale-West (HDVW) - bed 8 north section
2021-W25 Green beans climber HVE16,Length (m): 55.2; Nr of plants: 220,Green beans climber,SUMMER,55.2,220,HortasDoVale-East (HDVE) - bed 16
2021-W25 Green beans dwarf normal HVE18-N,Length (m): 27.6; Nr of plants: 110,Green beans dwarf normal,SUMMER,27.6,110,HortasDoVale-East (HDVE) - bed 18 north section
2021-W25 Green beans dwarf round pod HVE18-S,Length (m): 27.6; Nr of plants: 110,Green beans dwarf round pod,SUMMER,27.6,110,HortasDoVale-East (HDVE) - bed 18 south section
2021-W25 Parsley WGH3,Length (m): 6.23; Nr of plants: 199,Parsley,SUMMER,6.23,199,Winter Green House - bed 3
2021-W25 Sweet corn HVE18,Length (m): 55.2; Nr of plants: 440,Sweet corn,SUMMER,55.2,440,HortasDoVale-East (HDVE) - bed 18
2021-W26 Sweet potato HVE04-S,Length (m): 27.6; Nr of plants: 124,Sweet potato,SUMMER,27.6,124,HortasDoVale-East (HDVE) - bed 4 south section
2021-W27 Celery HVW01-S,Length (m): 10.7; Nr of plants: 48,Celery,SUMMER,10.7,48,HortasDoVale-West (HDVW) - bed 1 south section
2021-W27 Celery SGH3-N,Length (m): 6.23; Nr of plants: 99,Celery,SUMMER,6.23,99,Summer Green House (SGH) - bed 3 north section
2021-W27 Cucumber HVW01-S,Length (m): 5.34; Nr of plants: 24,Cucumber,SUMMER,5.34,24,HortasDoVale-West (HDVW) - bed 1 south section
2021-W27 Parsley SGH3-N,Length (m): 4.45; Nr of plants: 142,Parsley,SUMMER,4.45,142,Summer Green House (SGH) - bed 3 north section
2021-W27 Rucula SGH3-N,Length (m): 4.01; Nr of plants: 128,Rucula,SUMMER,4.01,128,Summer Green House (SGH) - bed 3 north section
2021-W27 Salanova SGH2-N,Length (m): 5.34; Nr of plants: 85,Salanova,SUMMER,5.34,85,Summer Green House (SGH) - bed 2 north section
2021-W27 Spring onion HVW17,Length (m): 57; Nr of plants: 512,Spring onion,SUMMER,57,512,HortasDoVale-West (HDVW) - bed 17
2021-W27 Swiss chard HVW13-N,Length (m): 16.9; Nr of plants: 152,Swiss chard,SUMMER,16.9,152,HortasDoVale-West (HDVW) - bed 13 north section
2021-W29 Cucumber HVW07-N,Length (m): 8.91; Nr of plants: 40,Cucumber,SUMMER,8.91,40,HortasDoVale-West (HDVW) - bed 7 north section
2021-W29 Melon long HVE13-N,Length (m): 27.6; Nr of plants: 27,Melon long,SUMMER,27.6,27,HortasDoVale-East (HDVE) - bed 13 north section
2021-W29 Melon long HVW07-S,Length (m): 28.5; Nr of plants: 28,Melon long,SUMMER,28.5,28,HortasDoVale-West (HDVW) - bed 7 south section
2021-W29 Parsley SGH4-N,Length (m): 4.45; Nr of plants: 142,Parsley,SUMMER,4.45,142,Summer Green House (SGH) - bed 4 north section
2021-W29 Zucchini HVW07-N,Length (m): 19.6; Nr of plants: 19,Zucchini,SUMMER,19.6,19,HortasDoVale-West (HDVW) - bed 7 north section
2021-W30 Broccoli HVW21,Length (m): 57; Nr of plants: 256,Broccoli,SUMMER,57,256,HortasDoVale-West (HDVW) - bed 21
2021-W30 Lettuce HVW21,Length (m): 57; Nr of plants: 512,Lettuce,SUMMER,57,512,HortasDoVale-West (HDVW) - bed 21
2021-W31 Celery HVW15-N,Length (m): 12.5; Nr of plants: 200,Celery,SUMMER,12.5,200,HortasDoVale-West (HDVW) - bed 15 north section
2021-W31 Parsley HVW15-N,Length (m): 5.34; Nr of plants: 170,Parsley,SUMMER,5.34,170,HortasDoVale-West (HDVW) - bed 15 north section
2021-W31 Tomatoes small HVW01-N,Length (m): 10.7; Nr of plants: 10,Tomatoes small,SUMMER,10.7,10,HortasDoVale-West (HDVW) - bed 1 north section
2021-W31 Tomatoes small HVW01-S,Length (m): 4.45; Nr of plants: 4,Tomatoes small,SUMMER,4.45,4,HortasDoVale-West (HDVW) - bed 1 south section
2021-W31 Tomatoes varied HVW01-N,Length (m): 17.8; Nr of plants: 17,Tomatoes varied,SUMMER,17.8,17,HortasDoVale-West (HDVW) - bed 1 north section
2021-W31 Tomatoes varied HVW01-S,Length (m): 8.02; Nr of plants: 8,Tomatoes varied,SUMMER,8.02,8,HortasDoVale-West (HDVW) - bed 1 south section
2021-W32 Basil HVW01-N,Length (m): 28.5; Nr of plants: 128,Basil,SUMMER,28.5,128,HortasDoVale-West (HDVW) - bed 1 north section
2021-W32 Basil HVW01-S,Length (m): 12.5; Nr of plants: 56,Basil,SUMMER,12.5,56,HortasDoVale-West (HDVW) - bed 1 south section
2021-W32 Beetroot HVW01-N,Length (m): 28.5; Nr of plants: 199,Beetroot,SUMMER,28.5,199,HortasDoVale-West (HDVW) - bed 1 north section
2021-W32 Beetroot HVW01-S,Length (m): 12.5; Nr of plants: 87,Beetroot,SUMMER,12.5,87,HortasDoVale-West (HDVW) - bed 1 south section
2021-W32 Dinosaur kale HVW09-N,Length (m): 18.7; Nr of plants: 168,Dinosaur kale,SUMMER,18.7,168,HortasDoVale-West (HDVW) - bed 9 north section
2021-W32 Green cabbage HVW19,Length (m): 57; Nr of plants: 256,Green cabbage,SUMMER,57,256,HortasDoVale-West (HDVW) - bed 19
2021-W32 Kolrabi HVW19,Length (m): 57; Nr of plants: 256,Kolrabi,SUMMER,57,256,HortasDoVale-West (HDVW) - bed 19
2021-W32 Leek HVE13-S,Length (m): 27.6; Nr of plants: 883,Leek,SUMMER,27.6,883,HortasDoVale-East (HDVE) - bed 13 south section
2021-W33 Butternut squash HVE27-S,Length (m): 8.02; Nr of plants: 8,Butternut squash,SUMMER,8.02,8,HortasDoVale-East (HDVE) - bed 27 south section
2021-W33 Butternut squash HVW09-S,Length (m): 27.6; Nr of plants: 27,Butternut squash,SUMMER,27.6,27,HortasDoVale-West (HDVW) - bed 9 south section
2021-W33 Coriander HVW23-N,Length (m): 6.23; Nr of plants: 199,Coriander,SUMMER,6.23,199,HortasDoVale-West (HDVW) - bed 23 north section
2021-W33 Hokkaido squash HVE27-N,Length (m): 24.9; Nr of plants: 24,Hokkaido squash,SUMMER,24.9,24,HortasDoVale-East (HDVE) - bed 27 north section
2021-W33 Hokkaido squash HVE27-S,Length (m): 16.9; Nr of plants: 16,Hokkaido squash,SUMMER,16.9,16,HortasDoVale-East (HDVE) - bed 27 south section
2021-W33 Tomatoes varied HVW03-N,Length (m): 28.5; Nr of plants: 28,Tomatoes varied,SUMMER,28.5,28,HortasDoVale-West (HDVW) - bed 3 north section
2021-W34 Beetroot HVW13-N,Length (m): 12.5; Nr of plants: 200,Beetroot,SUMMER,12.5,200,HortasDoVale-West (HDVW) - bed 13 north section
2021-W34 Brussels sprouts HVW11-S,Length (m): 13.4; Nr of plants: 60,Brussels sprouts,SUMMER,13.4,60,HortasDoVale-West (HDVW) - bed 11 south section
2021-W34 Cucumber HVW11-N,Length (m): 14.3; Nr of plants: 64,Cucumber,SUMMER,14.3,64,HortasDoVale-West (HDVW) - bed 11 north section
2021-W34 Green pea pods HVW10-N,Length (m): 14.3; Nr of plants: 257,Green pea pods,SUMMER,14.3,257,HortasDoVale-West (HDVW) - bed 10 north section
2021-W34 Green peas HVW10-N,Length (m): 14.3; Nr of plants: 257,Green peas,SUMMER,14.3,257,HortasDoVale-West (HDVW) - bed 10 north section
2021-W34 Horseradish HVW10-S,Length (m): 14.3; Nr of plants: 2145,Horseradish,SUMMER,14.3,2145,HortasDoVale-West (HDVW) - bed 10 south section
2021-W34 Leef cabbage HVW11-S,Length (m): 19.6; Nr of plants: 88,Leef cabbage,SUMMER,19.6,88,HortasDoVale-West (HDVW) - bed 11 south section
2021-W34 Lettuce HVW13-N,Length (m): 14.3; Nr of plants: 228,Lettuce,SUMMER,14.3,228,HortasDoVale-West (HDVW) - bed 13 north section
2021-W34 Lettuce SGH4-S,Length (m): 9.8; Nr of plants: 156,Lettuce,SUMMER,9.8,156,Summer Green House (SGH) - bed 4 south section
2021-W34 Mizuna green HVW23-N,Length (m): 1.78; Nr of plants: 56,Mizuna green,SUMMER,1.78,56,HortasDoVale-West (HDVW) - bed 23 north section
2021-W34 Mizuna purple HVW23-N,Length (m): 4.45; Nr of plants: 142,Mizuna purple,SUMMER,4.45,142,HortasDoVale-West (HDVW) - bed 23 north section
2021-W34 Pack choi WGH4,Length (m): 5.34; Nr of plants: 85,Pack choi,SUMMER,5.34,85,Winter Green House - bed 4
2021-W34 Radishes SGH3-S,Length (m): 5.34; Nr of plants: 801,Radishes,SUMMER,5.34,801,Summer Green House (SGH) - bed 3 south section
2021-W34 Rapini HVE25-N,Length (m): 13.4; Nr of plants: 1742,Rapini,SUMMER,13.4,1742,HortasDoVale-East (HDVE) - bed 25 north section
2021-W34 Rucula HVW23-N,Length (m): 5.34; Nr of plants: 170,Rucula,SUMMER,5.34,170,HortasDoVale-West (HDVW) - bed 23 north section
2021-W34 Rucula WGH4,Length (m): 1.78; Nr of plants: 56,Rucula,SUMMER,1.78,56,Winter Green House - bed 4
2021-W34 Tomato roma WGH2,Length (m): 15.1; Nr of plants: 37,Tomato roma,SUMMER,15.1,37,Winter Green House - bed 2
2021-W34 Tomatoes varied WGH1,Length (m): 22.3; Nr of plants: 22,Tomatoes varied,SUMMER,22.3,22,Winter Green House - bed 1
2021-W34 Turnip greens HVE25-N,Length (m): 13.4; Nr of plants: 1742,Turnip greens,SUMMER,13.4,1742,HortasDoVale-East (HDVE) - bed 25 north section
2021-W34 Zucchini HVW11-N,Length (m): 13.4; Nr of plants: 13,Zucchini,SUMMER,13.4,13,HortasDoVale-West (HDVW) - bed 11 north section
2021-W35 Beetroot HVW09-N,Length (m): 13.4; Nr of plants: 214,Beetroot,SUMMER,13.4,214,HortasDoVale-West (HDVW) - bed 9 north section
2021-W35 Coriander SGH4-N,Length (m): 4.45; Nr of plants: 142,Coriander,SUMMER,4.45,142,Summer Green House (SGH) - bed 4 north section
2021-W35 Peppers WGH2,Length (m): 7.13; Nr of plants: 32,Peppers,SUMMER,7.13,32,Winter Green House - bed 2
2021-W35 Rucula SGH4-N,Length (m): 1.78; Nr of plants: 56,Rucula,SUMMER,1.78,56,Summer Green House (SGH) - bed 4 north section
2021-W35 Spring onion HVE10,Length (m): 55.2; Nr of plants: 1766,Spring onion,SUMMER,55.2,1766,HortasDoVale-East (HDVE) - bed 10
2021-W36 Cauliflower HVW04-S,Length (m): 17.8; Nr of plants: 80,Cauliflower,SUMMER,17.8,80,HortasDoVale-West (HDVW) - bed 4 south section
2021-W36 Dill HVW15-S,Length (m): 3.56; Nr of plants: 56,Dill,SUMMER,3.56,56,HortasDoVale-West (HDVW) - bed 15 south section
2021-W36 Fennel bulb HVW23-N,Length (m): 9.8; Nr of plants: 156,Fennel bulb,SUMMER,9.8,156,HortasDoVale-West (HDVW) - bed 23 north section
2021-W36 Green beans dwarf normal HVE26-S,Length (m): 23.2; Nr of plants: 116,Green beans dwarf normal,SUMMER,23.2,116,HortasDoVale-East (HDVE) - bed 26 south section
2021-W36 Green cabbage HVW04-N,Length (m): 8.02; Nr of plants: 36,Green cabbage,SUMMER,8.02,36,HortasDoVale-West (HDVW) - bed 4 north section
2021-W36 Green cabbage HVW04-S,Length (m): 11.6; Nr of plants: 52,Green cabbage,SUMMER,11.6,52,HortasDoVale-West (HDVW) - bed 4 south section
2021-W36 Leek HVE26-N,Length (m): 23.2; Nr of plants: 742,Leek,SUMMER,23.2,742,HortasDoVale-East (HDVE) - bed 26 north section
2021-W36 Lettuce WGH4,Length (m): 1.96; Nr of plants: 31,Lettuce,SUMMER,1.96,31,Winter Green House - bed 4
2021-W36 Pack choi WGH4,Length (m): 1.51; Nr of plants: 24,Pack choi,SUMMER,1.51,24,Winter Green House - bed 4
2021-W36 Swiss chard HVW15-S,Length (m): 16; Nr of plants: 144,Swiss chard,SUMMER,16,144,HortasDoVale-West (HDVW) - bed 15 south section
2021-W36 Turnip HVW10-S,Length (m): 14.3; Nr of plants: 1859,Turnip,SUMMER,14.3,1859,HortasDoVale-West (HDVW) - bed 10 south section
2021-W37 Kolrabi HVW04-N,Length (m): 8.02; Nr of plants: 36,Kolrabi,AUTUMN,8.02,36,HortasDoVale-West (HDVW) - bed 4 north section
2021-W37 Kolrabi HVW04-S,Length (m): 28.5; Nr of plants: 128,Kolrabi,AUTUMN,28.5,128,HortasDoVale-West (HDVW) - bed 4 south section
2021-W37 Lettuce HVW04-N,Length (m): 8.02; Nr of plants: 128,Lettuce,AUTUMN,8.02,128,HortasDoVale-West (HDVW) - bed 4 north section
2021-W37 Lettuce HVW04-S,Length (m): 15.1; Nr of plants: 241,Lettuce,AUTUMN,15.1,241,HortasDoVale-West (HDVW) - bed 4 south section
2021-W37 Lettuce SGH2-N,Length (m): 5.34; Nr of plants: 42,Lettuce,AUTUMN,5.34,42,Summer Green House (SGH) - bed 2 north section
2021-W37 Mizuna green HVW23-S,Length (m): 2.67; Nr of plants: 85,Mizuna green,AUTUMN,2.67,85,HortasDoVale-West (HDVW) - bed 23 south section
2021-W37 Rucula HVW23-S,Length (m): 8.91; Nr of plants: 285,Rucula,AUTUMN,8.91,285,HortasDoVale-West (HDVW) - bed 23 south section
2021-W37 Spinaches HVW23-S,Length (m): 2.67; Nr of plants: 85,Spinaches,AUTUMN,2.67,85,HortasDoVale-West (HDVW) - bed 23 south section
2021-W38 Carrot HVE03,Length (m): 55.2; Nr of plants: 11040,Carrot,AUTUMN,55.2,11040,HortasDoVale-East (HDVE) - bed 3
2021-W38 N.Z. Spinaches HVW23-S,Length (m): 10.7; Nr of plants: 96,N.Z. Spinaches,AUTUMN,10.7,96,HortasDoVale-West (HDVW) - bed 23 south section
2021-W38 Rapini HVE25-S,Length (m): 13.4; Nr of plants: 1742,Rapini,AUTUMN,13.4,1742,HortasDoVale-East (HDVE) - bed 25 south section
2021-W38 Rucula SGH2-N,Length (m): 5.34; Nr of plants: 170,Rucula,AUTUMN,5.34,170,Summer Green House (SGH) - bed 2 north section
2021-W38 Spring onion HVE01,Length (m): 55.2; Nr of plants: 220,Spring onion,AUTUMN,55.2,220,HortasDoVale-East (HDVE) - bed 1
2021-W38 Spring onion HVE09-N,Length (m): 24.9; Nr of plants: 796,Spring onion,AUTUMN,24.9,796,HortasDoVale-East (HDVE) - bed 9 north section
2021-W38 Turnip greens HVE25-S,Length (m): 13.4; Nr of plants: 1742,Turnip greens,AUTUMN,13.4,1742,HortasDoVale-East (HDVE) - bed 25 south section
2021-W39 Beetroot HVW16,Length (m): 29; Nr of plants: 144,Beetroot,AUTUMN,29,144,HortasDoVale-West (HDVW) - bed 16
2021-W39 Broccoli HVW16-N,Length (m): 14.5; Nr of plants: 65,Broccoli,AUTUMN,14.5,65,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Broccoli HVW16-S,Length (m): 28.5; Nr of plants: 128,Broccoli,AUTUMN,28.5,128,HortasDoVale-West (HDVW) - bed 16 south section
2021-W39 Curly kale HVW16-N,Length (m): 3.12; Nr of plants: 28,Curly kale,AUTUMN,3.12,28,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Dinosaur kale HVW16-N,Length (m): 6.41; Nr of plants: 51,Dinosaur kale,AUTUMN,6.41,51,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Galega kale HVW16-N,Length (m): 4.45; Nr of plants: 35,Galega kale,AUTUMN,4.45,35,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Leek HVE09-S,Length (m): 16; Nr of plants: 480,Leek,AUTUMN,16,480,HortasDoVale-East (HDVE) - bed 9 south section
2021-W39 Radishes WGH7,Length (m): 9.8; Nr of plants: 1470,Radishes,AUTUMN,9.8,1470,Winter Green House - bed 7
2021-W39 Salanova SGH4-N,Length (m): 7.13; Nr of plants: 114,Salanova,AUTUMN,7.13,114,Summer Green House (SGH) - bed 4 north section
2021-W39 Turnip HVW18-S,Length (m): 28.5; Nr of plants: 3705,Turnip,AUTUMN,28.5,3705,HortasDoVale-West (HDVW) - bed 18 south section
2021-W41 Cucumber WGH4,Length (m): 7.13; Nr of plants: 32,Cucumber,AUTUMN,7.13,32,Winter Green House - bed 4
2021-W41 Potato HVE08,Length (m): 55.2; Nr of plants: 276,Potato,AUTUMN,55.2,276,HortasDoVale-East (HDVE) - bed 8
2021-W41 Spinaches HVW15-S,Length (m): 8.02; Nr of plants: 128,Spinaches,AUTUMN,8.02,128,HortasDoVale-West (HDVW) - bed 15 south section
2021-W41 Zucchini WGH3,Length (m): 15.1; Nr of plants: 12,Zucchini,AUTUMN,15.1,12,Winter Green House - bed 3
2021-W41 Zucchini WGH4,Length (m): 22.3; Nr of plants: 17,Zucchini,AUTUMN,22.3,17,Winter Green House - bed 4
